,Date,State,Cases
351,2020-07-04,Alabama,1111.2857142857142
352,2020-07-05,Alabama,1216.0
353,2020-07-06,Alabama,1100.4285714285713
354,2020-07-07,Alabama,1105.7142857142858
355,2020-07-08,Alabama,1142.857142857143
356,2020-07-09,Alabama,1294.7142857142858
357,2020-07-10,Alabama,1234.7142857142858
358,2020-07-11,Alabama,1297.857142857143
359,2020-07-12,Alabama,1376.2857142857142
360,2020-07-13,Alabama,1523.857142857143
361,2020-07-14,Alabama,1638.5714285714287
362,2020-07-15,Alabama,1729.2857142857142
363,2020-07-16,Alabama,1702.0
364,2020-07-17,Alabama,1797.5714285714287
365,2020-07-18,Alabama,1898.142857142857
366,2020-07-19,Alabama,1917.7142857142858
367,2020-07-20,Alabama,1906.5714285714287
368,2020-07-21,Alabama,1871.857142857143
369,2020-07-22,Alabama,1820.857142857143
370,2020-07-23,Alabama,1874.857142857143
371,2020-07-24,Alabama,1844.857142857143
372,2020-07-25,Alabama,1842.2857142857142
373,2020-07-26,Alabama,1754.7142857142858
374,2020-07-27,Alabama,1746.2857142857142
375,2020-07-28,Alabama,1715.4285714285713
376,2020-07-29,Alabama,1709.857142857143
377,2020-07-30,Alabama,1650.0
378,2020-07-31,Alabama,1674.0
379,2020-08-01,Alabama,1602.7142857142858
380,2020-08-02,Alabama,1735.7142857142858
381,2020-08-03,Alabama,1649.4285714285713
382,2020-08-04,Alabama,1619.4285714285713
383,2020-08-05,Alabama,1553.142857142857
384,2020-08-06,Alabama,1547.142857142857
385,2020-08-07,Alabama,1511.142857142857
386,2020-08-08,Alabama,1546.2857142857142
387,2020-08-09,Alabama,1412.857142857143
388,2020-08-10,Alabama,1479.857142857143
389,2020-08-11,Alabama,1449.857142857143
390,2020-08-12,Alabama,1447.4285714285713
391,2020-08-13,Alabama,1280.7142857142858
392,2020-08-14,Alabama,1144.0
393,2020-08-15,Alabama,1058.142857142857
394,2020-08-16,Alabama,1014.1428571428571
395,2020-08-17,Alabama,854.8571428571429
396,2020-08-18,Alabama,930.0
397,2020-08-19,Alabama,956.0
398,2020-08-20,Alabama,984.5714285714286
399,2020-08-21,Alabama,1046.142857142857
400,2020-08-22,Alabama,993.1428571428571
401,2020-08-23,Alabama,946.7142857142857
402,2020-08-24,Alabama,1100.857142857143
403,2020-08-25,Alabama,983.0
404,2020-08-26,Alabama,1110.857142857143
405,2020-08-27,Alabama,1224.857142857143
406,2020-08-28,Alabama,1221.857142857143
407,2020-08-29,Alabama,1336.7142857142858
408,2020-08-30,Alabama,1453.5714285714287
409,2020-08-31,Alabama,1335.4285714285713
410,2020-09-01,Alabama,1482.0
411,2020-09-02,Alabama,1283.5714285714287
412,2020-09-03,Alabama,1180.2857142857142
413,2020-09-04,Alabama,1172.5714285714287
414,2020-09-05,Alabama,1130.5714285714287
415,2020-09-06,Alabama,1011.2857142857143
416,2020-09-07,Alabama,987.8571428571429
417,2020-09-08,Alabama,855.7142857142857
418,2020-09-09,Alabama,882.5714285714286
419,2020-09-10,Alabama,897.1428571428571
420,2020-09-11,Alabama,901.4285714285714
421,2020-09-12,Alabama,834.7142857142857
422,2020-09-13,Alabama,920.1428571428571
423,2020-09-14,Alabama,926.5714285714286
424,2020-09-15,Alabama,936.2857142857143
425,2020-09-16,Alabama,952.8571428571429
426,2020-09-17,Alabama,884.5714285714286
427,2020-09-18,Alabama,880.0
428,2020-09-19,Alabama,931.1428571428571
429,2020-09-20,Alabama,886.7142857142857
430,2020-09-21,Alabama,903.0
431,2020-09-22,Alabama,917.7142857142857
432,2020-09-23,Alabama,866.5714285714286
433,2020-09-24,Alabama,921.2857142857143
434,2020-09-25,Alabama,1113.5714285714287
435,2020-09-26,Alabama,1061.0
436,2020-09-27,Alabama,1051.2857142857142
437,2020-09-28,Alabama,1029.0
438,2020-09-29,Alabama,995.7142857142857
439,2020-09-30,Alabama,1078.2857142857142
440,2020-10-01,Alabama,1076.857142857143
441,2020-10-02,Alabama,862.8571428571429
442,2020-10-03,Alabama,969.8571428571429
443,2020-10-04,Alabama,978.2857142857143
444,2020-02-26,Arkansas,0.0
445,2020-02-27,Arkansas,0.0
446,2020-02-28,Arkansas,0.0
447,2020-02-29,Arkansas,0.0
448,2020-03-01,Arkansas,0.0
449,2020-03-02,Arkansas,0.0
450,2020-03-03,Arkansas,0.0
451,2020-03-04,Arkansas,0.0
452,2020-03-05,Arkansas,0.0
453,2020-03-06,Arkansas,0.0
454,2020-03-07,Arkansas,0.0
455,2020-03-08,Arkansas,0.0
456,2020-03-09,Arkansas,0.0
457,2020-03-10,Arkansas,0.0
458,2020-03-11,Arkansas,0.0
459,2020-03-12,Arkansas,0.0
460,2020-03-13,Arkansas,1.2857142857142858
461,2020-03-14,Arkansas,1.7142857142857142
462,2020-03-15,Arkansas,0.42857142857142855
463,2020-03-16,Arkansas,0.42857142857142855
464,2020-03-17,Arkansas,0.42857142857142855
465,2020-03-18,Arkansas,0.5714285714285714
466,2020-03-19,Arkansas,8.857142857142858
467,2020-03-20,Arkansas,13.0
468,2020-03-21,Arkansas,15.714285714285714
469,2020-03-22,Arkansas,23.142857142857142
470,2020-03-23,Arkansas,27.0
471,2020-03-24,Arkansas,30.857142857142858
472,2020-03-25,Arkansas,39.42857142857143
473,2020-03-26,Arkansas,39.0
474,2020-03-27,Arkansas,40.142857142857146
475,2020-03-28,Arkansas,41.0
476,2020-03-29,Arkansas,37.285714285714285
477,2020-03-30,Arkansas,40.142857142857146
478,2020-03-31,Arkansas,43.42857142857143
479,2020-04-01,Arkansas,43.42857142857143
480,2020-04-02,Arkansas,44.0
481,2020-04-03,Arkansas,46.142857142857146
482,2020-04-04,Arkansas,47.714285714285715
483,2020-04-05,Arkansas,58.714285714285715
484,2020-04-06,Arkansas,57.42857142857143
485,2020-04-07,Arkansas,60.42857142857143
486,2020-04-08,Arkansas,59.42857142857143
487,2020-04-09,Arkansas,68.0
488,2020-04-10,Arkansas,66.71428571428571
489,2020-04-11,Arkansas,69.28571428571429
490,2020-04-12,Arkansas,63.285714285714285
491,2020-04-13,Arkansas,76.42857142857143
492,2020-04-14,Arkansas,78.85714285714286
493,2020-04-15,Arkansas,81.28571428571429
494,2020-04-16,Arkansas,71.57142857142857
495,2020-04-17,Arkansas,74.85714285714286
496,2020-04-18,Arkansas,73.71428571428571
497,2020-04-19,Arkansas,71.57142857142857
498,2020-04-20,Arkansas,80.42857142857143
499,2020-04-21,Arkansas,70.28571428571429
500,2020-04-22,Arkansas,101.0
501,2020-04-23,Arkansas,139.85714285714286
502,2020-04-24,Arkansas,159.28571428571428
503,2020-04-25,Arkansas,166.71428571428572
504,2020-04-26,Arkansas,174.28571428571428
505,2020-04-27,Arkansas,156.57142857142858
506,2020-04-28,Arkansas,162.42857142857142
507,2020-04-29,Arkansas,131.0
508,2020-04-30,Arkansas,97.42857142857143
509,2020-05-01,Arkansas,75.28571428571429
510,2020-05-02,Arkansas,65.85714285714286
511,2020-05-03,Arkansas,62.285714285714285
512,2020-05-04,Arkansas,60.285714285714285
513,2020-05-05,Arkansas,56.857142857142854
514,2020-05-06,Arkansas,59.714285714285715
515,2020-05-07,Arkansas,60.285714285714285
516,2020-05-08,Arkansas,58.57142857142857
517,2020-05-09,Arkansas,53.57142857142857
518,2020-05-10,Arkansas,82.14285714285714
519,2020-05-11,Arkansas,78.85714285714286
520,2020-05-12,Arkansas,91.28571428571429
521,2020-05-13,Arkansas,89.28571428571429
522,2020-05-14,Arkansas,94.71428571428571
523,2020-05-15,Arkansas,102.28571428571429
524,2020-05-16,Arkansas,118.71428571428571
525,2020-05-17,Arkansas,106.71428571428571
526,2020-05-18,Arkansas,110.0
527,2020-05-19,Arkansas,108.42857142857143
528,2020-05-20,Arkansas,109.57142857142857
529,2020-05-21,Arkansas,156.0
530,2020-05-22,Arkansas,164.14285714285714
531,2020-05-23,Arkansas,171.0
532,2020-05-24,Arkansas,166.14285714285714
533,2020-05-25,Arkansas,173.71428571428572
534,2020-05-26,Arkansas,179.57142857142858
535,2020-05-27,Arkansas,182.0
536,2020-05-28,Arkansas,154.28571428571428
537,2020-05-29,Arkansas,166.42857142857142
538,2020-05-30,Arkansas,176.85714285714286
539,2020-05-31,Arkansas,190.14285714285714
540,2020-06-01,Arkansas,202.0
541,2020-06-02,Arkansas,234.0
542,2020-06-03,Arkansas,255.71428571428572
543,2020-06-04,Arkansas,269.57142857142856
544,2020-06-05,Arkansas,267.7142857142857
545,2020-06-06,Arkansas,298.2857142857143
546,2020-06-07,Arkansas,310.42857142857144
547,2020-06-08,Arkansas,328.14285714285717
548,2020-06-09,Arkansas,323.14285714285717
549,2020-06-10,Arkansas,328.7142857142857
550,2020-06-11,Arkansas,341.57142857142856
551,2020-06-12,Arkansas,413.7142857142857
552,2020-06-13,Arkansas,427.7142857142857
553,2020-06-14,Arkansas,439.2857142857143
554,2020-06-15,Arkansas,453.85714285714283
555,2020-06-16,Arkansas,444.42857142857144
556,2020-06-17,Arkansas,462.57142857142856
557,2020-06-18,Arkansas,444.57142857142856
558,2020-06-19,Arkansas,440.57142857142856
559,2020-06-20,Arkansas,435.2857142857143
560,2020-06-21,Arkansas,437.14285714285717
561,2020-06-22,Arkansas,452.2857142857143
562,2020-06-23,Arkansas,498.14285714285717
563,2020-06-24,Arkansas,538.4285714285714
564,2020-06-25,Arkansas,590.5714285714286
